symbol,sharesOutstanding_proxy
NUE,228858659
NVDA,24305000000
NVR,2732735
NXPI,251674471
ORLY,844104092
OXY,985210434
ODFL,209098439
OMC,314603664
ON,402378412
OKE,629231557
ORCL,2873130000
OTIS,389715851
PCAR,525204359
PKG,89977067
PLTR,2284334012
PANW,683982694
PSKY,1071666977
PH,126186699
PAYX,358967450
PAYC,54906117
PYPL,935651953
PNR,163641880
PEP,1367340122
PFE,5685707552
PCG,2197910425
PM,1556638749
PSX,402921135
PNW,119690399
PNC,404313875
POOL,37249484
PPG,224400000
PPL,739739177
PFG,219693843
PG,2336733549
PGR,586200000
PLD,928867000
PRU,349921578
PEG,499153976
PTC,118919711
PSA,175463014
PHM,194916877
PWR,149115887
QCOM,1068045101
DGX,111242362
RL,38759382
RJF,197469899
RTX,1340771942
O,918105765
REG,182900978
REGN,103282318
RF,868000000
RSG,309563599
RMD,145966294
RVTY,113375621
HOOD,786356025
ROK,112433185
ROL,481150554
ROP,107637430
ROST,323444928
RCL,272712972
SPGI,302800000
CRM,937000000
SBAC,106563000
SLB,1495000000
STX,217872054
SRE,652681521
NOW,1055142985
SHW,247893513
SPG,326462060
SWKS,149930237
SJM,106694327
SW,522186327
SNA,52007557
SO,1101104843
LUV,517155080
SWK,154884964
SBUX,1137100000
STT,279077907
STLD,146034859
STE,98147009
SYK,382423648
SMCI,596971133
SYF,360171098
SNPS,191318206
SYY,478861056
TMUS,1118506626
TROW,218237000
TTWO,184778832
TPR,204649752
TRGP,214658564
TGT,452806418
TEL,293535486
TDY,46950987
TER,156608303
TSLA,3325819167
TXN,908623020
TPL,68938230
TXT,176224064
TMO,375708059
TJX,1110467095
TKO,78922362
TTD,440318931
TSCO,528403595
TT,221739004
TDG,56318584
TRV,217500000
TRMB,237920962
TFC,1262470000
TYL,43027728
TSN,283047857
USB,1555000000
UBER,2077830381
UDR,330489065
ULTA,44362172
UNP,593160889
UAL,323737989
UPS,738990054
URI,63630147
UNH,905838620
UHS,55233701
VLO,305009539
VTR,469732824
VRSN,92700000
VRSK,139372570
VZ,4216425489
VRTX,253718831
VTRS,1151769872
VICI,1068811371
V,1685772208
VST,338825490
VMC,132130905
WRB,380021174
GWW,47549337
WAB,170957186
WMT,7970166964
DIS,1773386947
WBD,2479486688
WM,402867051
WAT,59547678
WEC,325294252
WFC,3092618850
WELL,686328043
WST,71943412
WDC,341899281
WY,720861000
WSM,119380711
WMB,1221218867
WTW,95748613
WDAY,213000000
WYNN,103974479
XEL,591539773
XYL,243469063
YUM,277652829
ZBRA,50660242
ZBH,198181555
ZTS,440693214
